set horizon := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 ;

set datasets := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 ;

set weatherBins := 0 1 2 3 4 5 6 7 8 ;

param energyDemand := 
0 20 3 0.000000 
0 20 4 0.000000 
0 20 5 0.000000 
0 20 6 0.000000 
0 20 7 0.000000 
0 20 8 0.000000 
0 21 0 0.000000 
0 21 1 0.000000 
0 21 2 1.000000 
0 21 3 0.000000 
0 21 4 0.000000 
0 21 5 0.000000 
0 21 6 0.000000 
0 21 7 0.000000 
0 21 8 0.000000 
0 22 0 0.000000 
0 22 1 1.000000 
0 22 2 0.000000 
0 22 3 0.000000 
0 22 4 0.000000 
0 22 5 0.000000 
0 22 6 0.000000 
0 22 7 0.000000 
0 22 8 0.000000 
0 23 0 0.000000 
0 23 1 1.000000 
0 23 2 0.000000 
0 23 3 0.000000 
0 23 4 0.000000 
0 23 5 0.000000 
0 23 6 0.000000 
0 23 7 0.000000 
0 23 8 0.000000 
1 0 0 0.000000 
1 0 1 1.000000 
1 0 2 0.000000 
1 0 3 0.000000 
1 0 4 0.000000 
1 0 5 0.000000 
1 0 6 0.000000 
1 0 7 0.000000 
1 0 8 0.000000 
1 1 0 0.000000 
1 1 1 1.000000 
1 1 2 0.000000 
1 1 3 0.000000 
1 1 4 0.000000 
1 1 5 0.000000 
1 1 6 0.000000 
1 1 7 0.000000 
1 1 8 0.000000 
1 2 0 0.000000 
1 2 1 1.000000 
1 2 2 0.000000 
1 2 3 0.000000 
1 2 4 0.000000 
1 2 5 0.000000 
1 2 6 0.000000 
1 2 7 0.000000 
1 2 8 0.000000 
1 3 0 0.000000 
1 3 1 1.000000 
1 3 2 0.000000 
1 3 3 0.000000 
1 3 4 0.000000 
1 3 5 0.000000 
1 3 6 0.000000 
1 3 7 0.000000 
1 3 8 0.000000 
1 4 0 1.000000 
1 4 1 0.000000 
1 4 2 0.000000 
1 4 3 0.000000 
1 4 4 0.000000 
1 4 5 0.000000 
1 4 6 0.000000 
1 4 7 0.000000 
1 4 8 0.000000 
1 5 0 1.000000 
1 5 1 0.000000 
1 5 2 0.000000 
1 5 3 0.000000 
1 5 4 0.000000 
1 5 5 0.000000 
1 5 6 0.000000 
1 5 7 0.000000 
1 5 8 0.000000 
1 6 0 1.000000 
1 6 1 0.000000 
1 6 2 0.000000 
1 6 3 0.000000 
1 6 4 0.000000 
1 6 5 0.000000 
1 6 6 0.000000 
1 6 7 0.000000 
1 6 8 0.000000 
1 7 0 1.000000 
1 7 1 0.000000 
1 7 2 0.000000 
1 7 3 0.000000 
1 7 4 0.000000 
1 7 5 0.000000 
1 7 6 0.000000 
1 7 7 0.000000 
1 7 8 0.000000 
1 8 0 1.000000 
1 8 1 0.000000 
1 8 2 0.000000 
1 8 3 0.000000 
1 8 4 0.000000 
1 8 5 0.000000 
1 8 6 0.000000 
1 8 7 0.000000 
1 8 8 0.000000 
1 9 0 0.000000 
1 9 1 1.000000 
1 9 2 0.000000 
1 9 3 0.000000 
1 9 4 0.000000 
1 9 5 0.000000 
1 9 6 0.000000 
1 9 7 0.000000 
1 9 8 0.000000 
1 10 0 0.000000 
1 10 1 0.000000 
1 10 2 1.000000 
1 10 3 0.000000 
1 10 4 0.000000 
1 10 5 0.000000 
1 10 6 0.000000 
1 10 7 0.000000 
1 10 8 0.000000 
1 11 0 0.000000 
1 11 1 0.000000 
1 11 2 0.000000 
1 11 3 1.000000 
1 11 4 0.000000 
1 11 5 0.000000 
1 11 6 0.000000 
1 11 7 0.000000 
1 11 8 0.000000 
1 12 0 0.000000 
1 12 1 0.000000 
1 12 2 0.000000 
1 12 3 0.000000 
1 12 4 1.000000 
1 12 5 0.000000 
1 12 6 0.000000 
1 12 7 0.000000 
1 12 8 0.000000 
1 13 0 0.000000 
1 13 1 0.000000 
1 13 2 0.000000 
1 13 3 0.000000 
1 13 4 0.000000 
1 13 5 1.000000 
1 13 6 0.000000 
1 13 7 0.000000 
1 13 8 0.000000 
1 14 0 0.000000 
1 14 1 0.000000 
1 14 2 0.000000 
1 14 3 0.000000 
1 14 4 0.000000 
1 14 5 1.000000 
1 14 6 0.000000 
1 14 7 0.000000 
1 14 8 0.000000 
1 15 0 0.000000 
1 15 1 0.000000 
1 15 2 0.000000 
1 15 3 0.000000 
1 15 4 0.000000 
1 15 5 1.000000 
1 15 6 0.000000 
1 15 7 0.000000 
1 15 8 0.000000 
1 16 0 0.000000 
1 16 1 0.000000 
1 16 2 0.000000 
1 16 3 0.000000 
1 16 4 0.000000 
1 16 5 1.000000 
1 16 6 0.000000 
1 16 7 0.000000 
1 16 8 0.000000 
1 17 0 0.000000 
1 17 1 0.000000 
1 17 2 0.000000 
1 17 3 0.000000 
1 17 4 0.000000 
1 17 5 1.000000 
1 17 6 0.000000 
1 17 7 0.000000 
1 17 8 0.000000 
1 18 0 0.000000 
1 18 1 0.000000 
1 18 2 0.000000 
1 18 3 0.000000 
1 18 4 0.000000 
1 18 5 1.000000 
1 18 6 0.000000 
1 18 7 0.000000 
1 18 8 0.000000 
1 19 0 0.000000 
1 19 1 0.000000 
1 19 2 0.000000 
1 19 3 1.000000 
1 19 4 0.000000 
1 19 5 0.000000 
1 19 6 0.000000 
1 19 7 0.000000 
1 19 8 0.000000 
1 20 0 0.000000 
1 20 1 0.000000 
1 20 2 0.000000 
1 20 3 1.000000 
1 20 4 0.000000 
1 20 5 0.000000 
1 20 6 0.000000 
1 20 7 0.000000 
1 20 8 0.000000 
1 21 0 0.000000 
1 21 1 0.000000 
1 21 2 1.000000 
1 21 3 0.000000 
1 21 4 0.000000 
1 21 5 0.000000 
1 21 6 0.000000 
1 21 7 0.000000 
1 21 8 0.000000 
1 22 0 0.000000 
1 22 1 0.000000 
1 22 2 1.000000 
1 22 3 0.000000 
1 22 4 0.000000 
1 22 5 0.000000 
1 22 6 0.000000 
1 22 7 0.000000 
1 22 8 0.000000 
1 23 0 0.000000 
1 23 1 0.000000 
1 23 2 1.000000 
1 23 3 0.000000 
1 23 4 0.000000 
1 23 5 0.000000 
1 23 6 0.000000 
1 23 7 0.000000 
1 23 8 0.000000 
2 0 0 0.000000 
2 0 1 0.000000 
2 0 2 1.000000 
2 0 3 0.000000 
2 0 4 0.000000 
2 0 5 0.000000 
2 0 6 0.000000 
2 0 7 0.000000 
2 0 8 0.000000 
2 1 0 0.000000 
2 1 1 0.000000 
2 1 2 1.000000 
2 1 3 0.000000 
2 1 4 0.000000 
2 1 5 0.000000 
2 1 6 0.000000 
2 1 7 0.000000 
2 1 8 0.000000 
2 2 0 0.000000 
2 2 1 1.000000 
2 2 2 0.000000 
2 2 3 0.000000 
2 2 4 0.000000 
2 2 5 0.000000 
2 2 6 0.000000 
2 2 7 0.000000 
2 2 8 0.000000 
2 3 0 0.000000 
2 3 1 1.000000 
2 3 2 0.000000 
2 3 3 0.000000 
2 3 4 0.000000 
2 3 5 0.000000 
2 3 6 0.000000 
2 3 7 0.000000 
2 3 8 0.000000 
2 4 0 0.000000 
2 4 1 1.000000 
2 4 2 0.000000 
2 4 3 0.000000 
2 4 4 0.000000 
2 4 5 0.000000 
2 4 6 0.000000 
2 4 7 0.000000 
2 4 8 0.000000 
2 5 0 0.000000 
2 5 1 1.000000 
2 5 2 0.000000 
2 5 3 0.000000 
2 5 4 0.000000 
2 5 5 0.000000 
2 5 6 0.000000 
2 5 7 0.000000 
2 5 8 0.000000 
2 6 0 0.000000 
2 6 1 1.000000 
2 6 2 0.000000 
2 6 3 0.000000 
2 6 4 0.000000 
2 6 5 0.000000 
2 6 6 0.000000 
2 6 7 0.000000 
2 6 8 0.000000 
2 7 0 1.000000 
2 7 1 0.000000 
2 7 2 0.000000 
2 7 3 0.000000 
2 7 4 0.000000 
2 7 5 0.000000 
2 7 6 0.000000 
2 7 7 0.000000 
2 7 8 0.000000 
2 8 0 1.000000 
2 8 1 0.000000 
2 8 2 0.000000 
2 8 3 0.000000 
2 8 4 0.000000 
2 8 5 0.000000 
2 8 6 0.000000 
2 8 7 0.000000 
2 8 8 0.000000 
2 9 0 0.000000 
2 9 1 1.000000 
2 9 2 0.000000 
2 9 3 0.000000 
2 9 4 0.000000 
2 9 5 0.000000 
2 9 6 0.000000 
2 9 7 0.000000 
